"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\finalcapstone\point_of_sale\receipt.php", "PHP", 317, 0, 0, 21, 59, 397
"c:\xampp\htdocs\finalcapstone\point_of_sale\receipt_check.php", "PHP", 18, 0, 0, 6, 6, 30
"c:\xampp\htdocs\finalcapstone\point_of_sale\register_customer.php", "PHP", 52, 0, 0, 10, 9, 71
"c:\xampp\htdocs\finalcapstone\point_of_sale\register_student.php", "PHP", 95, 0, 0, 17, 13, 125
"c:\xampp\htdocs\finalcapstone\point_of_sale\void_transaction.php", "PHP", 49, 0, 0, 12, 10, 71
"c:\xampp\htdocs\finalcapstone\script.js", "JavaScript", 0, 0, 10, 5, 4, 19
"c:\xampp\htdocs\finalcapstone\staff_dashboard.php", "PHP", 144, 0, 0, 9, 15, 168
"c:\xampp\htdocs\finalcapstone\staffadmin.php", "PHP", 452, 0, 0, 19, 44, 515
"c:\xampp\htdocs\finalcapstone\staffadminalerts.php", "PHP", 24, 0, 0, 1, 2, 27
"c:\xampp\htdocs\finalcapstone\style.css", "CSS", 0, 739, 0, 12, 102, 853
"c:\xampp\htdocs\finalcapstone\test.php", "PHP", 179, 0, 0, 8, 29, 216
"c:\xampp\htdocs\finalcapstone\testfunction.php", "PHP", 91, 0, 0, 5, 29, 125
"Total", "-", 9371, 982, 698, 961, 1590, 13602
